field,last_delta,avg_delta,slope_per_run,trend_class,N
address,0.0000,0.0000,0.000000,Stable,4
amount,0.0000,0.0000,0.000000,Stable,4
broker_name,0.0000,0.0000,0.000000,Stable,4
currency,0.0000,0.0000,0.000000,Stable,4
deductions_total,0.0000,0.0000,0.000000,Stable,4
dividend_amount,0.0000,0.0000,0.000000,Stable,4
employee_name,0.0000,0.0000,0.000000,Stable,4
employer_name,0.0000,0.0000,0.000000,Stable,4
gross_amount,0.0000,0.0000,0.000000,Stable,4
holder_name,0.0000,0.0000,0.000000,Stable,4
hours_worked,0.0000,0.0000,0.000000,Stable,4
iban,0.0000,0.0000,0.000000,Stable,4
isin,0.0000,0.0000,0.000000,Stable,4
landlord_name,0.0000,0.0000,0.000000,Stable,4
net_amount,0.0000,0.0000,0.000000,Stable,4
nif,0.0000,0.0000,0.000000,Stable,4
pay_date,0.0000,0.0000,0.000000,Stable,4
rent_month,0.0000,0.0000,0.000000,Stable,4
tenant_name,0.0000,0.0000,0.000000,Stable,4
withholding_tax,0.0000,0.0000,0.000000,Stable,4
